name	x	y	z
Fp1	0.94	0.31	-0.11
Fp2	0.94	-0.31	-0.11
F7	0.58	0.80	-0.11
F3	0.70	0.57	0.44
Fz	0.76	-0.00	0.65
F4	0.70	-0.57	0.44
F8	0.58	-0.80	-0.11
FC5	0.35	0.90	0.25
FC1	0.40	0.40	0.82
FCz	0.39	-0.00	0.92
FC2	0.40	-0.40	0.82
FC6	0.35	-0.90	0.25
T7	0.00	0.99	-0.11
C3	0.00	0.76	0.65
Cz	0.00	-0.00	1.00
C4	0.00	-0.76	0.65
T8	0.00	-0.99	-0.11
CP5	-0.35	0.90	0.25
CP1	-0.40	0.40	0.82
CPz	-0.39	-0.00	0.92
CP2	-0.40	-0.40	0.82
CP6	-0.35	-0.90	0.25
P7	-0.58	0.80	-0.11
P3	-0.70	0.57	0.44
Pz	-0.76	-0.00	0.65
P4	-0.70	-0.57	0.44
P8	-0.58	-0.80	-0.11
POz	-0.93	-0.00	0.36
O1	-0.95	0.31	-0.11
Oz	-0.99	-0.00	-0.11
O2	-0.95	-0.31	-0.11
LM	0.00	-0.00	1.00
RM	0.00	-0.00	1.00
LEOG	0.00	-0.00	1.00
REOG	0.00	-0.00	1.00
VEOG	0.00	-0.00	1.00
AFz	0.93	-0.00	0.36
